MEP_name,MEP_id,national_party,national_party_id,EU_parliament_group,EU_parliament_group_id,EU_electoral_district,EU_electoral_district_id,elected_in_country,elected_in_country_id,start_date,end_date,parliamentary_term,parliamentary_term_id
Eva-Britt Svensson,http://www.wikidata.org/entity/Q155382,Left Party,http://www.wikidata.org/entity/Q110837,European United Left–Nordic Green Left,http://www.wikidata.org/entity/Q753711,Sweden,http://www.wikidata.org/entity/Q7654287,Sweden,http://www.wikidata.org/entity/Q34,2009-07-14,2011-08-31,Seventh European Parliament,http://www.wikidata.org/entity/Q4644021
Bronisław Geremek,http://www.wikidata.org/entity/Q157282,Polish United Workers' Party,http://www.wikidata.org/entity/Q537303,Group of the Alliance of Liberals and Democrats for Europe,http://www.wikidata.org/entity/Q839097,Warsaw,http://www.wikidata.org/entity/Q7970881,Poland,http://www.wikidata.org/entity/Q36,2004-07-20,2008-07-13,Sixth European Parliament,http://www.wikidata.org/entity/Q4642661
Alberto Moravia,http://www.wikidata.org/entity/Q161933,Italian Communist Party,http://www.wikidata.org/entity/Q461886,Communist and Allies Group,http://www.wikidata.org/entity/Q2053255,Italy,http://www.wikidata.org/entity/Q38,,,1984-07-24,1989-07-24,Second European Parliament,http://www.wikidata.org/entity/Q17315703
Ilkka Suominen,http://www.wikidata.org/entity/Q178666,National Coalition Party,http://www.wikidata.org/entity/Q304191,European People's Party group,http://www.wikidata.org/entity/Q635616,Finland,http://www.wikidata.org/entity/Q5450446,Finland,http://www.wikidata.org/entity/Q33,1999-07-20,2004-07-19,Fifth European Parliament,http://www.wikidata.org/entity/Q16836722
Meglena Kuneva,http://www.wikidata.org/entity/Q234346,,,,,,,,,,,,
Sari Essayah,http://www.wikidata.org/entity/Q241563,Christian Democrats,http://www.wikidata.org/entity/Q1138982,European People's Party group,http://www.wikidata.org/entity/Q635616,Finland,http://www.wikidata.org/entity/Q5450446,Finland,http://www.wikidata.org/entity/Q33,2009-07-14,2014-06-30,Seventh European Parliament,http://www.wikidata.org/entity/Q4644021
István Ujhelyi,http://www.wikidata.org/entity/Q253020,Hungarian Socialist Party,http://www.wikidata.org/entity/Q753223,Progressive Alliance of Socialists and Democrats,http://www.wikidata.org/entity/Q507343,Hungary,http://www.wikidata.org/entity/Q5943060,Hungary,http://www.wikidata.org/entity/Q28,2014-07-01,,Eighth European Parliament,http://www.wikidata.org/entity/Q17315694
Vladimír Remek,http://www.wikidata.org/entity/Q254985,Communist Party of Bohemia and Moravia,http://www.wikidata.org/entity/Q913567,European United Left–Nordic Green Left,http://www.wikidata.org/entity/Q753711,Czech Republic,http://www.wikidata.org/entity/Q5201764,Czech Republic,http://www.wikidata.org/entity/Q213,2009-07-14,2013-12-15,Seventh European Parliament,http://www.wikidata.org/entity/Q4644021
Vladimír Remek,http://www.wikidata.org/entity/Q254985,Communist Party of Bohemia and Moravia,http://www.wikidata.org/entity/Q913567,European United Left–Nordic Green Left,http://www.wikidata.org/entity/Q753711,Czech Republic,http://www.wikidata.org/entity/Q5201764,Czech Republic,http://www.wikidata.org/entity/Q213,2004-07-20,2009-07-13,Sixth European Parliament,http://www.wikidata.org/entity/Q4642661
Monica Frassoni,http://www.wikidata.org/entity/Q264802,Ecolo,http://www.wikidata.org/entity/Q655611,The Greens–European Free Alliance,http://www.wikidata.org/entity/Q751935,French-speaking electoral college (Belgium),http://www.wikidata.org/entity/Q3677924,Belgium,http://www.wikidata.org/entity/Q31,1999-07-20,2004-07-19,Fifth European Parliament,http://www.wikidata.org/entity/Q16836722
